Player,Pos,Tm,G,GS,MP,PTS,TRB,AST,STL,BLK,eFG%,TOV,PF
Royce O'Neale,SF,PHO,4,2,26.0,5.0,4.8,1.0,0.3,0.0,0.455,0.5,2.8
Isaac Okoro,SF,CLE,12,7,21.9,5.5,1.8,1.1,0.9,0.3,0.421,0.9,2.5
Kelly Oubre Jr.,SF,PHI,6,6,37.3,13.2,4.0,1.7,1.8,1.2,0.555,1.3,4.0
Michael Porter Jr.,SF,DEN,12,12,36.9,15.8,6.8,1.1,0.9,0.8,0.579,1.5,2.3
Bobby Portis,PF,MIL,6,6,31.2,16.5,11.3,1.0,0.5,0.2,0.5,1.5,2.2
Kristaps Porzi??is,C,BOS,7,4,23.6,12.3,4.4,1.1,0.7,1.6,0.55,0.7,2.1
Norman Powell,SG,LAC,6,0,29.8,12.8,2.8,0.3,0.5,0.0,0.533,1.2,3.3
Taurean Prince,PF,LAL,5,0,22.2,7.4,2.4,0.6,0.2,0.4,0.5,0.2,1.8
Payton Pritchard,PG,BOS,19,0,18.7,6.4,1.9,2.1,0.2,0.0,0.529,0.7,1.2
Austin Reaves,SG,LAL,5,5,34.8,16.8,3.8,3.6,1.4,0.6,0.532,0.8,1.6
Naz Reid,C,MIN,16,0,22.6,11.1,3.7,1.0,0.5,0.8,0.546,0.9,2.0
Mitchell Robinson,C,NYK,6,0,19.2,2.8,6.8,0.5,1.0,1.2,0.5,0.5,2.5
D'Angelo Russell,PG,LAL,5,5,37.0,14.2,2.8,4.2,0.8,0.2,0.479,1.8,1.2
Ben Sheppard,SG,IND,17,2,19.7,5.2,3.0,1.0,0.5,0.1,0.57,0.6,1.9
Pascal Siakam,PF,IND,17,17,35.5,21.6,7.5,3.8,0.8,0.4,0.566,1.1,2.8
Max Strus,SF,CLE,12,12,36.2,9.5,5.3,2.9,0.8,0.0,0.529,1.3,3.4
Jalen Suggs,SG,ORL,7,7,33.1,14.7,5.1,3.3,1.3,0.4,0.488,2.9,2.6
Jayson Tatum,PF,BOS,19,19,40.4,25.0,9.7,6.3,1.1,0.7,0.48,2.6,2.8
Obi Toppin,PF,IND,17,0,20.2,10.9,4.4,1.7,0.4,0.4,0.615,0.8,1.2
Karl-Anthony Towns,PF,MIN,16,16,32.6,19.1,9.0,2.6,0.8,0.2,0.53,1.7,3.4
Myles Turner,C,IND,17,17,32.4,17.0,6.6,2.1,0.5,1.5,0.612,1.9,2.6
Jonas Valan?i?nas,C,NOP,4,4,22.5,14.5,11.0,1.3,0.5,0.0,0.524,2.5,2.3
Franz Wagner,SF,ORL,7,7,37.0,18.9,6.9,4.4,0.7,1.3,0.451,1.3,2.9
Moritz Wagner,C,ORL,7,0,15.0,6.3,4.4,0.3,0.9,0.4,0.472,1.1,3.0
Cason Wallace,SG,OKC,10,0,19.8,4.2,1.3,1.0,0.9,0.2,0.5,0.4,1.4
P.J. Washington,PF,DAL,22,22,35.7,13.0,6.6,1.4,0.7,0.8,0.528,1.5,3.0
Russell Westbrook,PG,LAC,6,0,19.0,6.3,4.2,1.7,1.2,0.5,0.3,1.7,1.8
Derrick White,SG,BOS,19,19,35.6,16.7,4.3,4.1,0.9,1.2,0.587,0.8,2.3
Aaron Wiggins,SG,OKC,10,0,15.7,6.2,3.2,1.0,0.6,0.3,0.553,0.9,0.8
Jalen Williams,PF,OKC,10,10,37.7,18.7,6.8,5.4,1.7,0.5,0.516,1.9,2.1
Delon Wright,PG,MIA,4,1,26.8,8.0,3.0,1.8,1.0,0.3,0.75,0.0,1.3
Ivica Zubac,C,LAC,6,6,32.0,16.2,9.3,1.0,0.8,0.5,0.6,1.3,3.5
